Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kenya,KEN,1993,Access to electricity (% of population),EG.ELC.ACCS.ZS,10.9
Kenya,KEN,1994,Access to electricity (% of population),EG.ELC.ACCS.ZS,3.47343683242798
Kenya,KEN,1995,Access to electricity (% of population),EG.ELC.ACCS.ZS,5.42734336853027
Kenya,KEN,1996,Access to electricity (% of population),EG.ELC.ACCS.ZS,7.37853050231934
Kenya,KEN,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,9.32631778717041
Kenya,KEN,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,14.5
Kenya,KEN,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,13.2088918685913
Kenya,KEN,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,15.2
Kenya,KEN,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,17.0
Kenya,KEN,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.9
Kenya,KEN,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,16.0
Kenya,KEN,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,22.6
Kenya,KEN,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,24.5
Kenya,KEN,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,26.4
Kenya,KEN,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,28.3
Kenya,KEN,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,30.3
Kenya,KEN,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,23.0
Kenya,KEN,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,19.2
Kenya,KEN,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,36.2
Kenya,KEN,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,38.1
Kenya,KEN,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,40.1
Kenya,KEN,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,36.0
Kenya,KEN,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,41.6
Kenya,KEN,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,53.1
Kenya,KEN,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,55.8
Kenya,KEN,2018,Access to electricity (% of population),EG.ELC.ACCS.ZS,61.2
Kenya,KEN,2019,Access to electricity (% of population),EG.ELC.ACCS.ZS,69.7
Kenya,KEN,2020,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.5
Kenya,KEN,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,76.5
Kenya,KEN,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,76.0
Kenya,KEN,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,76.2
Kenya,KEN,1990,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,77.6300247497977
Kenya,KEN,1991,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,78.7013652581222
Kenya,KEN,1992,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,79.1325204028571
Kenya,KEN,1993,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,79.7029672078291
Kenya,KEN,1994,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,80.7647504342602
Kenya,KEN,1995,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,79.095907770352
Kenya,KEN,1996,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,78.3257117429299
Kenya,KEN,1997,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,79.4260148161471
Kenya,KEN,1998,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,78.2672868127757
Kenya,KEN,1999,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,78.5561903957251
Kenya,KEN,2000,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,77.6439348137911
Kenya,KEN,2001,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,78.7392372178136
Kenya,KEN,2002,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,79.8035880114723
Kenya,KEN,2003,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,81.4258146708444
Kenya,KEN,2004,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,78.5978119501186
Kenya,KEN,2005,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,77.6999676403969
Kenya,KEN,2006,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,76.3675080151885
Kenya,KEN,2007,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,76.9025475576672
Kenya,KEN,2008,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,76.6138423979528
Kenya,KEN,2009,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,74.1345960610932
Kenya,KEN,2010,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,74.2074239091495
Kenya,KEN,2011,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,73.4248339753743
Kenya,KEN,2012,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,74.7202784866699
Kenya,KEN,2013,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,73.2353775879776
Kenya,KEN,2014,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,69.1301959042652
Kenya,KEN,2015,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,64.561517917845
Kenya,KEN,2016,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,64.1128649694446
Kenya,KEN,2017,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,63.1611396493151
Kenya,KEN,2018,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,62.1359155689731
Kenya,KEN,2019,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,62.1602892049862
Kenya,KEN,2020,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,63.1485983210989
Kenya,KEN,2021,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,62.3623541228081
Kenya,KEN,2022,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,62.0430853742574
Kenya,KEN,2023,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,61.4514914172522
Kenya,KEN,2024,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,61.973334254159
Kenya,KEN,2000,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.73
Kenya,KEN,2001,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.57
Kenya,KEN,2002,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.62
Kenya,KEN,2003,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.48
Kenya,KEN,2004,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.57
Kenya,KEN,2005,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.48
Kenya,KEN,2006,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.4
Kenya,KEN,2007,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.16
Kenya,KEN,2008,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.3
